|name      |spect_type  |vmag |ra_deg      |dec_deg     |bv_color|
|HIP 32349 |A0m...      |-1.44|101.28854105|-16.71314306|   0.009|
|HIP 30438 |F0Ib        |-0.62|095.98787763|-52.69571799|   0.164|
|HIP 69673 |K2IIIp      |-0.05|213.91811403|+19.18726997|   1.239|
|HIP 71683 |G2V         |-0.01|219.92041034|-60.83514707|   0.710|
|HIP 91262 |A0Vvar      | 0.03|279.23410832|+38.78299311|  -0.001|
|HIP 24608 |M1: comp    | 0.08|079.17206517|+45.99902927|   0.795|
|HIP 24436 |B8Ia        | 0.18|078.63446353|-08.20163919|  -0.030|
|HIP 37279 |F5IV-V      | 0.40|114.82724194|+05.22750767|   0.432|
|HIP 7588  |B3Vp        | 0.45|024.42813204|-57.23666007|  -0.158|
|HIP 27989 |M2Ib        | 0.45|088.79287161|+07.40703634|   1.500|
|HIP 68702 |B1III       | 0.61|210.95601898|-60.37297840|  -0.231|
|HIP 97649 |A7IV-V      | 0.76|297.69450860|+08.86738491|   0.221|
|HIP 60718 |B0.5IV      | 0.77|186.64975585|-63.09905586|  -0.243|
|HIP 21421 |K5III       | 0.87|068.98000195|+16.50976164|   1.538|
|HIP 65474 |B1V         | 0.98|201.29835230|-11.16124491|  -0.235|
|HIP 80763 |M1Ib + B2.5V| 1.06|247.35194804|-26.43194608|   1.865|
|HIP 37826 |K0IIIvar    | 1.16|116.33068263|+28.02631031|   0.991|
|HIP 113368|A3V         | 1.17|344.41177323|-29.62183701|   0.145|
|HIP 102098|A2Ia        | 1.25|310.35797270|+45.28033423|   0.092|
|HIP 62434 |B0.5III     | 1.25|191.93049537|-59.68873246|  -0.238|
|HIP 71681 |K1V         | 1.35|219.91412833|-60.83947139|   0.900|
|HIP 49669 |B7V         | 1.36|152.09358075|+11.96719513|  -0.087|
|HIP 33579 |B2II        | 1.50|104.65644451|-28.97208931|  -0.211|
|HIP 36850 |A2Vm        | 1.58|113.65001898|+31.88863645|   0.034|
|HIP 61084 |M4III       | 1.59|187.79137202|-57.11256922|   1.600|
|HIP 85927 |B1.5IV+...  | 1.62|263.40219373|-37.10374835|  -0.231|
|HIP 25336 |B2III       | 1.64|081.28278416|+06.34973451|  -0.224|
|HIP 25428 |B7III       | 1.65|081.57290804|+28.60787346|  -0.130|
|HIP 45238 |A2IV        | 1.67|138.30100329|-69.71747245|   0.070|
|HIP 26311 |B0Ia        | 1.69|084.05338572|-01.20191725|  -0.184|
|HIP 109268|B7IV        | 1.73|332.05781838|-46.96061593|  -0.070|
|HIP 26727 |O9.5Ib SB   | 1.74|085.18968672|-01.94257841|  -0.199|
|HIP 39953 |WC8 + O9I   | 1.75|122.38314727|-47.33661177|  -0.145|
|HIP 62956 |A0p         | 1.76|193.50680410|+55.95984301|  -0.022|
|HIP 15863 |F5Ib        | 1.79|051.08061889|+49.86124281|   0.481|
|HIP 90185 |B9.5III     | 1.79|276.04310967|-34.38431460|  -0.031|
|HIP 54061 |F7V comp    | 1.81|165.93265365|+61.75111888|   1.061|
|HIP 34444 |F8Ia        | 1.83|107.09785853|-26.39320776|   0.671|
|HIP 67301 |B3V SB      | 1.85|206.88560880|+49.31330288|  -0.099|
|HIP 86228 |F1II        | 1.86|264.32969072|-42.99782155|   0.406|
|HIP 41037 |K3III+B2V   | 1.86|125.62860299|-59.50953829|   1.196|
|HIP 28360 |A2V         | 1.90|089.88237261|+44.94743492|   0.077|
|HIP 82273 |K2IIb-IIIa  | 1.91|252.16610742|-69.02763503|   1.447|
|HIP 31681 |A0IV        | 1.93|099.42792641|+16.39941482|   0.001|
|HIP 42913 |A1V         | 1.93|131.17582214|-54.70856797|   0.043|
|HIP 100751|B2IV        | 1.94|306.41187347|-56.73488071|  -0.118|
|HIP 11767 |F7:Ib-IIv SB| 1.97|037.94614689|+89.26413805|   0.636|
|HIP 30324 |B1II/III    | 1.98|095.67494750|-17.95591658|  -0.240|
|HIP 46390 |K3III       | 1.99|141.89688260|-08.65868335|   1.440|
|HIP 50583 |K0III       | 2.01|154.99234054|+19.84186032|   1.128|
|HIP 9884  |K2III       | 2.01|031.79285757|+23.46277743|   1.151|
|HIP 3419  |K0III       | 2.04|010.89678452|-17.98668410|   1.019|
|HIP 92855 |B2.5V       | 2.05|283.81631956|-26.29659428|  -0.134|
|HIP 68933 |K0IIIb      | 2.06|211.67218608|-36.36869575|   1.011|
|HIP 5447  |M0IIIvar    | 2.07|017.43248991|+35.62083048|   1.576|
|HIP 27366 |B0.5Iavar   | 2.07|086.93911641|-09.66960186|  -0.168|
|HIP 677   |B9p         | 2.07|002.09653333|+29.09082805|  -0.038|
|HIP 72607 |K4IIIvar    | 2.07|222.67664751|+74.15547596|   1.465|
|HIP 112122|M5III       | 2.07|340.66639531|-46.88456594|   1.610|
|HIP 86032 |A5III       | 2.08|263.73335321|+12.56057584|   0.155|
|HIP 14576 |B8V         | 2.09|047.04220716|+40.95565120|  -0.003|
|HIP 9640  |B8V         | 2.10|030.97466283|+42.32984832|   1.370|
|HIP 57632 |A3Vvar      | 2.14|177.26615977|+14.57233687|   0.090|
|HIP 4427  |B0IV:evar   | 2.15|014.17708808|+60.71674966|  -0.046|
|HIP 61932 |A1IV        | 2.20|190.38002079|-48.95988553|  -0.023|
|HIP 39429 |O5IAf       | 2.21|120.89612561|-40.00318846|  -0.269|
|HIP 45556 |A8Ib        | 2.21|139.27261834|-59.27526115|   0.189|
|HIP 76267 |A0V         | 2.22|233.67162293|+26.71491041|   0.032|
|HIP 100453|F8Ib        | 2.23|305.55708346|+40.25668150|   0.673|
|HIP 65378 |A2V         | 2.23|200.98091604|+54.92541525|   0.057|
|HIP 44816 |K4Ib-II     | 2.23|136.99907126|-43.43262406|   1.665|
|HIP 3179  |K0II-IIIvar | 2.24|010.12661349|+56.53740928|   1.170|
|HIP 87833 |K5III       | 2.24|269.15157439|+51.48895101|   1.521|
|HIP 25930 |O9.5II      | 2.25|083.00166562|-00.29909340|  -0.175|
|HIP 746   |F2III-IV    | 2.28|002.29204036|+59.15021814|   0.380|
|HIP 78401 |B0.2IV      | 2.29|240.08338225|-22.62162024|  -0.117|
|HIP 66657 |B1III       | 2.29|204.97196962|-53.46636269|  -0.171|
|HIP 82396 |K2IIIb      | 2.29|252.54268738|-34.29260982|   1.144|
|HIP 71860 |B1.5III     | 2.30|220.48239101|-47.38814127|  -0.154|
|HIP 71352 |B1Vn + A    | 2.33|218.87688163|-42.15774562|  -0.157|
|HIP 53910 |A1V         | 2.34|165.45996150|+56.38234478|   0.033|
|HIP 72105 |A0          | 2.35|221.24687869|+27.07417383|   0.966|
|HIP 107315|K2Ibvar     | 2.38|326.04641808|+09.87500791|   1.520|
|HIP 86670 |B1.5III     | 2.39|265.62199908|-39.02992092|  -0.171|
|HIP 2081  |K0III...    | 2.40|006.57028075|-42.30512197|   1.083|
|HIP 58001 |A0V SB      | 2.41|178.45725536|+53.69473296|   0.044|
|HIP 84012 |A2.5Va      | 2.43|257.59442659|-15.72514757|   0.059|
|HIP 113881|M2II-IIIvar | 2.44|345.94305575|+28.08245462|   1.655|
|HIP 105199|A7IV-V      | 2.45|319.64408982|+62.58545529|   0.257|
|HIP 35904 |B5Ia        | 2.45|111.02377104|-29.30311979|  -0.083|
|HIP 45941 |B2IV        | 2.47|140.52845511|-55.01069531|  -0.141|
|HIP 102488|K0III       | 2.48|311.55180091|+33.96945334|   1.021|
|HIP 113963|B9.5III     | 2.49|346.19007020|+15.20536786|  -0.002|
|HIP 14135 |M2III       | 2.54|045.56991279|+04.08992539|   1.630|
|HIP 81377 |O9.5V       | 2.54|249.28970847|-10.56715180|   0.038|
|HIP 68002 |B2.5IV      | 2.55|208.88514539|-47.28826634|  -0.176|
|HIP 78820 |B0.5V       | 2.56|241.35931206|-19.80539286|  -0.065|
|HIP 54872 |A4V         | 2.56|168.52671705|+20.52403384|   0.128|
|HIP 25985 |F0Ib        | 2.58|083.18255798|-17.82229227|   0.211|
